Jugador,Nacimiento,Edad,Nación,Altura,Peso,PJ,Goles,Asistencias,TA,TAR,TR,Desde,De,BL,Número,Contrato,Selección,Club
Matthias Köbbing,28.05.1997,28,Alemania,196,90,0,0,0,0,0,0,01.07.2020,FC 08 Homburg,0,44,30.06.2027,No,1 FC Koeln
Marvin Schwäbe,25.04.1995,30,Alemania,190,87,13,0,0,0,0,0,01.07.2021,Bröndby IF,102,1,30.06.2027,No,1 FC Koeln
Ron-Robert Zieler,12.02.1989,36,Alemania,188,83,0,0,0,1,0,0,07.07.2025,Hannover 96,254,20,30.06.2027,6,1 FC Koeln
Jusuf Gazibegovic,11.03.2000,25,Bosnia-Herzegovina,174,67,1,0,0,0,0,0,01.01.2025,Sturm Graz,1,25,30.06.2028,23,1 FC Koeln
Dominique Heintz,15.08.1993,32,Alemania,188,88,6,0,0,0,0,0,31.08.2023,1. FC Union Berlin,217,3,30.06.2026,No,1 FC Koeln
Timo Hübers,20.07.1996,29,Alemania,190,82,8,0,0,0,0,0,01.07.2021,Hannover 96,93,4,30.06.2026,No,1 FC Koeln
Luca Kilian,01.09.1999,26,Alemania,192,91,0,0,0,0,0,0,24.08.2021,1. FSV Mainz 05,81,15,30.06.2026,No,1 FC Koeln
Kristoffer Lund,14.05.2002,23,EE.UU,184,80,12,0,1,1,0,0,05.08.2025,Palermo FC,12,32,N.D.,7,1 FC Koeln
Cenk Özkacar,06.10.2000,25,Turquía,190,90,6,0,0,0,0,0,09.08.2025,FC Valencia,6,39,N.D.,9,1 FC Koeln
Joel Schmied,23.09.1998,27,Suiza,188,84,11,0,0,4,0,0,13.01.2025,FC Sion,11,2,30.06.2029,No,1 FC Koeln
Sebastian Sebulonsen,27.01.2000,25,Noruega,187,78,13,0,0,3,0,0,18.07.2025,Bröndby IF,13,28,30.06.2028,1,1 FC Koeln
Neo Telle,24.04.2005,20,Alemania,183,75,0,0,0,0,0,0,01.07.2019,1. Jugendfußballschule Köln,0,49,N.D.,No,1 FC Koeln
Rav van den Berg,07.07.2004,21,Países Bajos,190,78,4,0,0,0,0,0,13.08.2025,FC Middlesbrough,4,33,30.06.2030,No,1 FC Koeln
Alessio Castro-Montes,17.05.1997,28,Bélgica,175,74,4,0,0,1,0,0,01.09.2025,Union Saint-Gilloise,4,17,30.06.2028,No,1 FC Koeln
Said El Mala,26.08.2006,19,Alemania,190,72,13,6,3,0,0,0,01.07.2025,FC Viktoria Köln,13,13,30.06.2030,0,1 FC Koeln
Fayssal Harchaoui,15.01.2006,19,Alemania,175,74,0,0,0,0,0,0,01.07.2020,SC West Köln,0,34,N.D.,No,1 FC Koeln
Denis Huseinbasic,03.07.2001,24,Bosnia-Herzegovina,184,76,10,0,0,1,0,0,01.07.2022,Kickers Offenbach,60,8,N.D.,7,1 FC Koeln
Isak Bergmann Johannesson,23.03.2003,22,Islandia,184,75,13,1,1,3,0,0,01.07.2025,Fortuna Düsseldorf,13,18,30.06.2030,41,1 FC Koeln
Florian Kainz,24.10.1992,33,Austria,176,72,10,1,0,0,0,0,18.01.2019,Werder Bremen,195,11,N.D.,28,1 FC Koeln
Jakub Kaminski,05.06.2002,23,Polonia,179,71,13,5,1,0,0,0,04.07.2025,VfL Wolfsburg,83,16,N.D.,27,1 FC Koeln
Tom Krauß,22.06.2001,24,Alemania,182,73,9,0,0,1,0,0,05.07.2025,VfL Bochum,85,5,30.06.2026,No,1 FC Koeln
Emin Kujovic,29.09.2004,21,Bosnia-Herzegovina,190,88,0,0,0,0,0,0,01.01.2020,Fortuna Köln,0,46,30.06.2028,No,1 FC Koeln
Linton Maina,23.06.1999,26,Alemania,173,70,7,0,1,0,0,0,01.07.2022,Hannover 96,93,37,N.D.,No,1 FC Koeln
Eric Martel,29.04.2002,23,Alemania,188,81,13,0,2,3,0,0,01.07.2022,Austria Wien,72,6,30.06.2026,No,1 FC Koeln
Jan Thielmann,26.05.2002,23,Alemania,178,72,10,2,2,2,0,0,01.07.2017,Eintracht Trier,120,29,N.D.,No,1 FC Koeln
Ragnar Ache,28.07.1998,27,Alemania,182,81,12,1,4,1,0,0,01.07.2025,1. FC Kaiserslautern,32,9,30.06.2029,No,1 FC Koeln
Sargis Adamyan,23.05.1993,32,Armenia,184,75,0,0,0,0,0,0,01.07.2025,Jahn Regensburg,90,23,30.06.2026,37,1 FC Koeln
Marius Bülter,29.03.1993,32,Alemania,188,85,11,3,3,2,0,0,31.07.2025,TSG Hoffenheim,157,30,30.06.2027,No,1 FC Koeln
Malek El Mala,02.04.2005,20,Alemania,193,75,0,0,0,0,0,0,01.07.2025,FC Viktoria Köln,0,19,30.06.2030,No,1 FC Koeln
Luca Waldschmidt,19.05.1996,29,Alemania,182,75,9,3,2,0,0,0,01.07.2023,VfL Wolfsburg,166,7,N.D.,7,1 FC Koeln
Daniel Batz,12.01.1991,34,Alemania,191,90,3,0,0,0,0,0,01.07.2023,1. FC Saarbrücken,8,33,30.06.2026,No,1 FSV Mainz 05
Lasse Rieß,27.07.2001,24,Alemania,192,90,4,0,0,0,0,0,01.07.2012,FSV Nieder-Olm,6,1,30.06.2027,No,1 FSV Mainz 05
Robin Zentner,28.10.1994,31,Alemania,194,96,9,0,0,2,0,1,01.07.2017,Holstein Kiel,207,27,30.06.2028,No,1 FSV Mainz 05
Stefan Bell,24.08.1991,34,Alemania,192,88,11,0,1,2,0,0,19.01.2012,Eintracht Frankfurt,295,16,30.06.2026,No,1 FSV Mainz 05
Kasey Bos,08.05.2004,21,Australia,186,76,0,0,0,0,0,0,01.07.2025,Melbourne Victory,0,18,30.06.2029,0,1 FSV Mainz 05
Anthony Caci,01.07.1997,28,Francia,185,76,4,0,0,1,0,0,01.07.2022,Racing Straßburg,99,19,30.06.2028,No,1 FSV Mainz 05
Danny da Costa,13.07.1993,32,Alemania,187,87,15,1,0,3,0,0,01.07.2022,Eintracht Frankfurt,214,21,30.06.2026,No,1 FSV Mainz 05
Maxim Dal,26.01.2006,19,Alemania,188,85,0,0,0,0,0,0,01.07.2015,Stuttgarter Kickers,0,47,30.06.2027,No,1 FSV Mainz 05
Andreas Hanche-Olsen,17.01.1997,28,Noruega,185,79,13,0,0,3,0,0,13.01.2023,KAA Gent,67,25,30.06.2028,22,1 FSV Mainz 05
Dominik Kohr,31.01.1994,31,Alemania,183,80,11,1,0,3,1,1,18.01.2021,Eintracht Frankfurt,317,31,30.06.2028,No,1 FSV Mainz 05
Maxim Leitsch,18.05.1998,27,Alemania,189,83,3,0,0,0,0,0,01.07.2022,VfL Bochum,52,5,30.06.2026,No,1 FSV Mainz 05
Phillipp Mwene,29.01.1994,31,Austria,172,68,13,0,2,3,0,0,23.08.2023,PSV Eindhoven,98,2,30.06.2026,27,1 FSV Mainz 05
Kacper Potulski,19.10.2007,18,Polonia,195,85,3,1,0,1,0,0,01.07.2023,Legia Warschau,3,48,30.06.2029,No,1 FSV Mainz 05
Konstantin Schopp,30.12.2005,20,Austria,195,90,0,0,0,0,0,0,01.07.2025,Sturm Graz,0,23,30.06.2029,No,1 FSV Mainz 05
Nikolas Veratschnig,24.01.2003,22,Austria,180,75,11,0,0,2,0,0,01.07.2024,Wolfsberger AC,26,22,30.06.2028,0,1 FSV Mainz 05
Silvan Widmer,05.03.1993,32,Suiza,183,80,10,1,0,2,0,0,09.07.2021,FC Basel,116,30,30.06.2026,56,1 FSV Mainz 05
Nadiem Amiri,27.10.1996,29,Alemania,180,76,13,3,1,5,0,0,31.01.2024,Bayer 04 Leverkusen,269,10,30.06.2028,9,1 FSV Mainz 05
William Böving,01.03.2003,22,Dinamarca,176,70,4,0,1,1,0,0,01.09.2025,Sturm Graz,4,14,30.06.2029,No,1 FSV Mainz 05
Daniel Gleiber,01.02.2005,20,Alemania,181,78,0,0,0,0,0,0,01.07.2020,FSV Frankfurt,0,42,30.06.2028,No,1 FSV Mainz 05
Sota Kawasaki,30.07.2001,24,Japón,172,70,6,0,0,1,0,0,09.07.2025,Kyoto Sanga FC,6,24,N.D.,0,1 FSV Mainz 05
Jae-Sung Lee,10.08.1992,33,Corea del Sur,181,74,13,2,0,1,0,0,01.07.2021,Holstein Kiel,136,7,30.06.2026,103,1 FSV Mainz 05
